match_id,match_date,home,away,home_poss,away_poss,home_manager,home_gender,home_date,home_city,home_style,home_tactics,away_manager,away_gender,away_date,away_city,away_style,away_tactics,venue,attendance,city,referee,ar1,ar2,fourth,var,league,gender,season,referee_cert,ar1_cert,ar2_cert,fourth_cert,var_cert
0009d8f9,2022-08-20 22:00,Granada,Racing Sant,57.0,43.0,Karanka,Male,09/23/1973,"Vitoria, España",Defensivo,4-4-2,Guillermo Fernández,Male,07/10/1982,"Madrid, España",Pragmático,4-4-2,Estadio Nuevo Los Cármenes,12966.0,"Granada, España",Dámaso Arcediano,Marcos Cerdán Aguilar,Adrián Díaz,Fulgencio Madrid Martínez,Iñaki Bikandi,Segunda División,Male,2022-2023,FIFA Elite Referee Certification,FIFA Elite Referee Certification,,FIFA Elite Referee Certification,FIFA Elite Referee Certification
0012462a,2023-12-03 21:00,Barcelona,Atlético Madrid,58.0,42.0,Xavi,Male,01/25/1980,"Terrassa, España",Desarrollo Juvenil,4-3-3,Diego Simeone,Male,04/28/1970,"Buenos Aires, Argentina",Defensivo,4-4-2,Estadi Olímpic Lluís Companys,34568.0,"Barcelona, España",José Sánchez,Raúl Cabañero,Juan López,Jorge Díaz,Alejandro Hernández,La Liga,Male,2023-2024,CONMEBOL Advanced Referee Accreditation,CONMEBOL Advanced Referee Accreditation,CONMEBOL Advanced Referee Accreditation,FIFA Elite Referee Certification,FIFA Elite Referee Certification
001383d7,2023-10-06 21:00,Athletic Club,Almería,59.0,41.0,Ernesto Valverde,Male,02/09/1964,"Viandar de la Vera, España",Táctico,4-3-3,Alberto Lasarte,Male,04/15/1961,"Montevideo, Uruguay",Táctico,4-2-3-1,San Mamés,43677.0,"Bilbao, España",Víctor García,Joan Méndez,Julián Villaseñor,Alberto Fuente Martín,Javier Villanueva,La Liga,Male,2023-2024,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,CONMEBOL Advanced Referee Accreditation,FIFA Elite Referee Certification
001e097a,2022-04-17 18:15,Huesca,Zaragoza,54.0,46.0,Xisco,Male,05/06/1976,"Petra, España",Ofensivo,4-3-3,Juan Ignacio Martínez,Male,02/17/1964,"Cieza, España",Táctico,4-4-2,Estadio El Alcoraz,8143.0,"Huesca, España",Jon González,David Pérez,Aitor Moleón,Gorka Etayo Herrera,Gorka Sagues,Segunda División,Male,2021-2022,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,FIFA Elite Referee Certification,UEFA Pro Referee License
001f02ea,2024-01-21 21:00,Girona,Sevilla,55.0,45.0,Michel,Male,03/23/1963,"Madrid, España",Ofensivo,4-3-3,Quique Flores,Male,02/23/1965,"Madrid, España",Pragmático,4-2-3-1,Estadi Municipal de Montilivi,13092.0,"Girona, España",Pablo González,Israel Bárcena,Rubén Porras,Carlos Fernández Buergo,Eduardo Prieto,La Liga,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,FIFA Elite Referee Certification,UEFA Pro Referee License,UEFA Pro Referee License
006cb34c,2023-09-28 21:30,Osasuna,Atlético Madrid,55.0,45.0,Jagoba Arrasate,Male,03/12/1978,"Berriatua, España",Ofensivo,4-3-3,Diego Simeone,Male,04/28/1970,"Buenos Aires, Argentina",Defensivo,4-4-2,Estadio El Sadar,20192.0,"Pamplona, España",Juan Martínez,Diego Barbero,Miguel Martínez,Eder Mallo,Pablo González,La Liga,Male,2023-2024,FIFA Elite Referee Certification,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License
007c5123,2023-05-20 18:30,Getafe,Elche,39.0,61.0,Pepe Bordalás,Male,06/04/1964,"Alicante, España",Defensivo,4-4-2,Sebastián Becaccece,Male,01/01/1981,"Rosario, Argentina",Táctico,4-3-3,Coliseum Alfonso Pérez,13927.0,"Getafe, España",Javier Villanueva,Jorge Bueno,Antonio Cerezo,Daniel Palencia,Xavi Estrada,La Liga,Male,2022-2023,CONMEBOL Advanced Referee Accreditation,FIFA Elite Referee Certification,FIFA Elite Referee Certification,UEFA Pro Referee License,UEFA Pro Referee License
00802720,2023-02-26 16:15,Levante,Lugo,71.0,29.0,Javier Calleja,Male,05/12/1978,"Madrid, España",Ofensivo,4-3-3,Joan Milan Carrillo,Male,03/10/1985,"Barcelona, España",Ofensivo,4-3-3,Estadio Ciudad de Valencia,12699.0,"Valencia, España",Jon González,David Pérez,Asier Pérez de Mendiola,Pablo Morales,Rafael Sánchez,Segunda División,Male,2022-2023,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,,FIFA Elite Referee Certification
00924c9f,2024-01-27 21:00,Levante,Tenerife,46.0,54.0,Javier Calleja,Male,05/12/1978,"Madrid, España",Ofensivo,4-3-3,Asier Garitano,Male,02/20/1970,"Bergara, España",Táctico,4-2-3-1,Estadio Ciudad de Valencia,14427.0,"Valencia, España",José López,David Ortiz,Josep Bordoy,Alejandro Ojaos,Gorka Sagues,Segunda División,Male,2023-2024,FIFA Elite Referee Certification,FIFA Elite Referee Certification,,UEFA Pro Referee License,UEFA Pro Referee License
00a045c2,2022-05-15 14:00,Alcorcón,Las Palmas,45.0,55.0,Fran Fernández,Male,03/03/1981,"Salamanca, España",Defensivo,4-4-2,García Pimienta,Male,08/01/1974,"Barcelona, España",Desarrollo Juvenil,4-3-3,Estadio Santo Domingo,1557.0,"Alcorcón, España",Iosu Galech,Álvaro Granel,Ion Rodríguez Portela,Salvador Lax,Iñaki Bikandi,Segunda División,Male,2021-2022,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,UEFA Pro Referee License
00a4b1aa,2022-12-04 16:00,Alhama,Villarreal,52.0,48.0,Yehuda Huta,Male,09/19/1967,"Bnei Brak, Israel",Pragmático,4-2-3-1,Sara Monforte,Female,05/21/1983,"Valencia, España",Táctico,4-3-3,Complejo Deportivo Guadalentín,,"Alhama de Murcia, España",Marta Frías Acedo,Guadalupe Porras Ayuso,María Del Pilar Delgado Guisado,Coral Couso Cuadrado,,Liga F,Female,2022-2023,CONMEBOL Advanced Referee Accreditation,FIFA Elite Referee Certification,UEFA Pro Referee License,FIFA Elite Referee Certification,CONMEBOL Advanced Referee Accreditation
00befa04,2021-10-10 18:15,Alcorcón,Burgos,55.0,45.0,Jorge Romero,Male,08/11/1976,"Zaragoza, España",Táctico,4-2-3-1,Julián Calero,Male,01/16/1971,"Madrid, España",Defensivo,4-2-3-1,Estadio Santo Domingo,1953.0,"Alcorcón, España",Iosu Galech,Álvaro Granel,Ion Rodríguez Portela,José Guzmán,Iñaki Bikandi,Segunda División,Male,2021-2022,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,FIFA Elite Referee Certification,,FIFA Elite Referee Certification
01037ff0,2022-10-20 20:00,Osasuna,Espanyol,64.0,36.0,Jagoba Arrasate,Male,03/12/1978,"Berriatua, España",Ofensivo,4-3-3,Diego Martínez,Male,05/31/1980,"Zamora, España",Desarrollo Juvenil,4-3-3,Estadio El Sadar,17832.0,"Pamplona, España",Mario Melero,José Martínez,Aitor Villate,Miguel Sesma,José González,La Liga,Male,2022-2023,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License
012ba4f0,2023-05-13 14:00,Real Sociedad,Girona,51.0,49.0,Imanol Alguacil,Male,04/22/1971,"Orio, España",Ofensivo,4-3-3,Michel,Male,03/23/1963,"Madrid, España",Ofensivo,4-3-3,Reale Arena,30027.0,"San Sebastián, España",Jorge Figueroa,Álvaro Carreño,Rubén Becerril,Álvaro López,José Luis Munuera,La Liga,Male,2022-2023,FIFA Elite Referee Certification,AFC Master Referee Certification,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,FIFA Elite Referee Certification
017a4820,2023-09-02 21:00,Villarreal B,Cartagena,58.0,42.0,Miguel Álvarez,Male,11/15/1964,"Castro Urdiales, España",Desarrollo Juvenil,4-3-3,Víctor Sánchez,Male,02/08/1977,"Valencia, España",Ofensivo,4-2-3-1,Estadio de la Cerámica,1522.0,"Villarreal, España",Iosu Galech,Marcos Barroso Galán,Álvaro González Narváez,Imanol Irurtzun Artola,David Gálvez,Segunda División,Male,2023-2024,UEFA Pro Referee License,FIFA Elite Referee Certification,UEFA Pro Referee License,FIFA Elite Referee Certification,FIFA Elite Referee Certification
017d009d,2024-02-17 16:15,Oviedo,Burgos,56.0,44.0,Luis Carrión,Male,07/26/1978,"Barcelona, España",Pragmático,4-4-2,Bolo,Male,10/28/1970,"Oviedo, España",Pragmático,4-2-3-1,Estadio Carlos Tartiere,17813.0,"Oviedo, España",Saúl Ais,Marcos Saenén,Rubén Campo Hernández,Imanol Irurtzun Artola,Aitor Gorostegui,Segunda División,Male,2023-2024,AFC Master Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,UEFA Pro Referee License,FIFA Elite Referee Certification
